version,carrier,mcc,mnc,apn,type,mmsc,mmsproxy,mmsport,user,password,proxy,port,server,authtype
1,Cosmote GR,202,1,Internet,default/supl,,,,,,,,,
1,Cosmote GR MMS,202,1,Mms,mms,195.167.65.220:8002,10.10.10.20,8080,,,,,,
1,Cosmote Wireless Internet,202,1,internet,default/supl,,,,,,,,,
1,Cosmote MMS,202,1,mms,mms,http://195.167.65.220:8002,10.10.10.20,8080,,,,,,
1,Vf Internet,202,5,internet.vodafone.gr,default/supl,,,,user,pass,,,,
1,Vf Internet Corporate,202,5,internet,default/supl,,,,user,pass,,,,
1,Vodafone GR-MMS,202,5,mms.vodafone.net,mms,http://mms.vodafone.gr,213.249.19.49,5080,user,pass,,,,
1,Vodafone GR,202,5,surfonly.vodafone.gr,default/supl,,,,,,,,,
1,Vodafone GR Prepaid,202,5,webkarta.vodafone.gr,default/supl,,,,,,,,,
1,Q-Telecom MMS GPRS,202,9,q-mms.myq.gr,mms,http://mms.myq.gr,192.168.80.134,8080,,,,,,
1,WIND GR,202,10,gint.b-online.gr,default/supl,,,,,,,,,
1,WIND GR MMS,202,10,mnet.b-online.gr,mms,http://192.168.200.95/servlets/mms,192.168.200.11,9401,mms,mms,,,,
1,Tele2 NL,204,2,internet.tele2.nl,default/supl,,,,,,,,,
1,Tele2 MMS NL,204,2,internet.tele2.nl,mms,http://mmsc.tele2.nl,193.12.40.64,8080,,,,,,
1,Vodafone NL,204,4,live.vodafone.com,default/supl/mms,http://mmsc.mms.vodafone.nl,192.168.251.150,8799,vodafone,vodafone,,,,
1,Vodafone MMS Business,204,4,office.vodafone.nl,mms,http://mmsc.mms.vodafone.nl,192.168.251.150,8799,vodafone,vodafone,,,,
1,KPN,204,8,internet,default/supl,,,,kpn,gprs,,,,
1,KPN,204,8,portalmmm.nl,default/supl/mms,http://mp.mobiel.kpn/mmsc,10.10.100.20,5080,,,,,,
1,KPN MMS,204,8,portalmmm.nl,mms,http://mp.mobiel.kpn/mmsc,10.10.100.20,5080,,,10.10.100.20,5080,,
1,TELFORT,204,12,internet,default/supl,,,,,,,,,
1,Telfort,204,12,internet,default/supl/mms,http://mp.mobiel.kpn/mmsc,193.113.200.195,8080,,,,,,
1,TELFORT MMS,204,12,portalmmm.nl,mms,http://mp.mobiel.kpn/mmsc,10.10.100.20,9201,,,,,,
1,T-Mobile NL,204,16,internet,default/supl,,,,,,,,,
1,T-Mobile NL-MMS,204,16,mms,mms,http://t-mobilemms,010.010.010.011,8080,tmobilemms,tmobilemms,,,*,
1,T-Mobile NL,204,16,smartsites.t-mobile,default/supl,http://t-mobilemms,010.010.010.011,8080,*,*,,,*,
1,Orange NL,204,20,internet,default/supl,,,,,,,,,
1,Orange NL MMS,204,20,mms,mms,http://mms.orange.nl:8002,10.250.255.183,9201,,,,,,
1,rabo.plus,204,20,rabo.plus,default/supl,,,,,,,,,
1,Proximus MMS,206,1,event.proximus.be,mms,http://mmsc.proximus.be/mms,10.55.14.75,8080,mms,mms,,,,
1,Proximus Internet,206,1,internet.proximus.be,default/supl,,,,,,,,,
1,Mobistar MMS,206,10,mms.be,mms,http://mmsc.mobistar.be,212.65.63.143,8080,mobistar,mobistar,,,,
1,Mobistar,206,10,internet.be,default/supl,,,,mobistar,mobistar,212.65.63.143,8080,,
1,Telenet,206,10,telenetwap.be,default/supl,,,,,,,,,
1,BASE Belgium,206,20,gprs.base.be,default/supl,,,,base,base,,,,
1,BASE MMS Belgium,206,20,mms.base.be,mms,http://mmsc.base.be,217.72.235.1,8080,base,base,,,,
1,Mobile Vikings MMS,206,20,mms.be,mms,http://mmsc.be,217.72.235.1,8080,mms,mms,,,,
1,Mobile Vikings,206,20,web.be,default/supl,,,,web,web,,,,
1,Virgin,208,1,ofnew.fr,default/supl,,,,orange,orange,,,,
1,Orange FR-MMS,208,1,orange.acte,mms,http://mms.orange.fr,192.168.010.200,8080,orange,orange,,,*,
1,Orange Internet,208,1,orange.fr,default/supl,,,,orange,orange,,,,
1,Orange World FR,208,1,orange,default/supl,,,,orange,orange,,,*,
1,MMS Orange GPRS,208,2,orange.acte,mms,http://mms.orange.fr/,192.168.10.200,8080,orange,orange,,,,
1,Orange GPRS ISP,208,2,orange.fr,default/supl,,,,,,,,,
1,SFR MMS,208,10,mmssfr,mms,http://mms1,10.151.0.1,8080,,,,,,
1,SFR,208,10,sl2sfr,default/supl,,,,,,,,*,
1,SFR WAP,208,10,wapsfr,default/supl,,,,none,none,195.115.25.129,8080,*,
1,ACCESS DATA,208,10,websfr,default/supl,,,,,,,,,
1,MMS,208,11,mmssfr,mms,http://mms1,10.151.0.1,8080,,,,,,
1,ACCESS DATA,208,11,websfr,default/supl,,,,,,,,,
1,MMS,208,13,mmssfr,mms,http://mms1,10.151.0.1,8080,,,,,,
1,ACCESS DATA,208,13,websfr,default/supl,,,,,,,,,
1,NRJ Mobile FR,208,10,fnetnrj,default/supl,,,,,,,,,
1,NRJ Mobile FR MMS,208,10,mmsnrj,mms,http://mmsnrj,010.143.156.005,8080,,,,,,
1,Bouygues Pro,208,20,a2bouygtel.com,default/supl/mms,,,,,,,,,
1,Bouygues WEB,208,20,mmsbouygtel.com,default/supl,,,,,,,,*,
1,Bouygues Telecom,208,20,mmsbouygtel.com,default/supl/mms,http://mms.bouyguestelecom.fr/mms/wapenc,62.201.129.226,8080,,,,,,
1,Bouygues MMS,208,20,mmsbouygtel.com,mms,http://mms.bouyguestelecom.fr/mms/wapenc,62.201.129.226,8080,,,,,*,
1,BouyguesGPRS ISP,208,21,ebouygtel.com,default/supl,,,,,,,,,
1,MMS Bouygues,208,21,mmsbouygtel.com,mms,http://mms.bouyguestelecom.fr/mms/wapenc,62.201.129.226,8080,,,,,,
1,BouyguesGPRS ISP,208,88,ebouygtel.com,default/supl,,,,,,,,,
1,MMS Bouygues,208,88,mmsbouygtel.com,mms,http://mms.bouyguestelecom.fr/mms/wapenc,62.201.129.226,8080,,,,,,
